species_taxid	filename
1280	GCF_000626615.3_ASM62661v3_genomic.fna
217204	GCF_000783435.2_ASM78343v2_genomic.fna
545	GCF_000783445.2_ASM78344v2_genomic.fna
588	GCF_000783455.2_ASM78345v2_genomic.fna
584	GCF_000783465.2_ASM78346v2_genomic.fna
573	GCF_000783515.2_ASM78351v2_genomic.fna
1282	GCF_000783535.2_ASM78353v2_genomic.fna
95486	GCF_000783555.2_ASM78355v2_genomic.fna
584	GCF_000783575.2_ASM78357v2_genomic.fna
584	GCF_000783595.2_ASM78359v2_genomic.fna
615	GCF_000783615.2_ASM78361v2_genomic.fna
644	GCF_000783635.2_ASM78363v2_genomic.fna
2027919	GCF_000783675.2_ASM78367v2_genomic.fna
648	GCF_000783695.2_ASM78369v2_genomic.fna
648	GCF_000783715.2_ASM78371v2_genomic.fna
623	GCF_000783735.2_ASM78373v2_genomic.fna
546	GCF_000783755.2_ASM78375v2_genomic.fna
648	GCF_000783775.2_ASM78377v2_genomic.fna
624	GCF_000783795.2_ASM78379v2_genomic.fna
28901	GCF_000783815.2_ASM78381v2_genomic.fna
158836	GCF_000783835.2_ASM78383v2_genomic.fna
158836	GCF_000783855.2_ASM78385v2_genomic.fna
584	GCF_000783875.2_ASM78387v2_genomic.fna
1134687	GCF_000783895.2_ASM78389v2_genomic.fna
615	GCF_000783915.2_ASM78391v2_genomic.fna
575	GCF_000783935.2_ASM78393v2_genomic.fna
582	GCF_000783955.2_ASM78395v2_genomic.fna
615	GCF_000783975.2_ASM78397v2_genomic.fna
546	GCF_000783995.2_ASM78399v2_genomic.fna
584	GCF_000784015.2_ASM78401v2_genomic.fna
1280	GCF_001018635.2_ASM101863v2_genomic.fna
1280	GCF_001018645.2_ASM101864v2_genomic.fna
1280	GCF_001018655.2_ASM101865v2_genomic.fna
1280	GCF_001018685.2_ASM101868v2_genomic.fna
1280	GCF_001018715.2_ASM101871v2_genomic.fna
1280	GCF_001018725.2_ASM101872v2_genomic.fna
1280	GCF_001018735.2_ASM101873v2_genomic.fna
1280	GCF_001018775.2_ASM101877v2_genomic.fna
1280	GCF_001018795.2_ASM101879v2_genomic.fna
1280	GCF_001018805.2_ASM101880v2_genomic.fna
1280	GCF_001018835.2_ASM101883v2_genomic.fna
1280	GCF_001018845.2_ASM101884v2_genomic.fna
1280	GCF_001018875.2_ASM101887v2_genomic.fna
1280	GCF_001018885.2_ASM101888v2_genomic.fna
1280	GCF_001018905.2_ASM101890v2_genomic.fna
1280	GCF_001018915.2_ASM101891v2_genomic.fna
1280	GCF_001018955.2_ASM101895v2_genomic.fna
1280	GCF_001018965.2_ASM101896v2_genomic.fna
1280	GCF_001018975.2_ASM101897v2_genomic.fna
1280	GCF_001019015.2_ASM101901v2_genomic.fna
1280	GCF_001019035.2_ASM101903v2_genomic.fna
1280	GCF_001019045.2_ASM101904v2_genomic.fna
1280	GCF_001019055.2_ASM101905v2_genomic.fna
1280	GCF_001019065.2_ASM101906v2_genomic.fna
2201033	GCF_001019115.2_ASM101911v2_genomic.fna
1280	GCF_001019125.2_ASM101912v2_genomic.fna
1280	GCF_001019135.2_ASM101913v2_genomic.fna
1280	GCF_001019175.2_ASM101917v2_genomic.fna
1280	GCF_001019195.2_ASM101919v2_genomic.fna
1280	GCF_001019205.2_ASM101920v2_genomic.fna
1280	GCF_001019215.2_ASM101921v2_genomic.fna
1280	GCF_001019255.2_ASM101925v2_genomic.fna
1280	GCF_001019275.2_ASM101927v2_genomic.fna
1280	GCF_001019295.2_ASM101929v2_genomic.fna
1280	GCF_001019305.2_ASM101930v2_genomic.fna
1280	GCF_001019335.2_ASM101933v2_genomic.fna
1280	GCF_001019355.2_ASM101935v2_genomic.fna
1280	GCF_001019375.2_ASM101937v2_genomic.fna
1280	GCF_001019395.2_ASM101939v2_genomic.fna
1280	GCF_001019415.2_ASM101941v2_genomic.fna
1280	GCF_001019435.2_ASM101943v2_genomic.fna
